210
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,0.0,-1.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,22.0,13.0,0.0,-1.0,
-1.0,-1.0,-1.0,-1.0,9.0,22.0,27.0,15.0,5.0,0.0,-1.0,
-1.0,-1.0,5.0,15.0,24.0,21.0,18.0,18.0,18.0,0.0,-1.0,
-1.0,1.0,1.0,1.0,9.0,18.0,15.0,6.0,6.0,0.0,-1.0,
-1.0,0.0,9.0,14.0,24.0,17.0,3.0,0.0,0.0,0.0,-1.0,
-1.0,8.0,8.0,17.0,27.0,21.0,3.0,3.0,3.0,0.0,-1.0,
-1.0,3.0,12.0,12.0,22.0,15.0,15.0,1.0,1.0,0.0,-1.0,
-1.0,0.0,9.0,23.0,27.0,18.0,14.0,5.0,5.0,0.0,-1.0,
-1.0,-1.0,-1.0,6.0,27.0,24.0,23.0,0.0,0.0,-1.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
