140
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
-1.0,-1.0,-1.0,16.0,21.0,17.0,8.0,0.0,-1.0,-1.0,-1.0,
-1.0,10.0,10.0,22.0,25.0,22.0,5.0,5.0,0.0,-1.0,-1.0,
-1.0,0.0,0.0,24.0,24.0,25.0,19.0,12.0,9.0,0.0,-1.0,
-1.0,10.0,13.0,18.0,25.0,25.0,20.0,10.0,10.0,0.0,-1.0,
-1.0,7.0,12.0,13.0,22.0,20.0,20.0,19.0,7.0,0.0,-1.0,
-1.0,3.0,8.0,15.0,24.0,25.0,4.0,1.0,1.0,0.0,-1.0,
-1.0,9.0,12.0,13.0,20.0,25.0,8.0,0.0,0.0,0.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,12.0,19.0,15.0,10.0,0.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,10.0,10.0,0.0,-1.0,
