70
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
-1.0,-1.0,15.0,18.0,3.0,3.0,3.0,0.0,-1.0,-1.0,-1.0,
-1.0,3.0,3.0,9.0,20.0,17.0,9.0,9.0,0.0,-1.0,-1.0,
-1.0,0.0,3.0,15.0,3.0,3.0,0.0,0.0,0.0,-1.0,-1.0,
-1.0,11.0,20.0,23.0,23.0,17.0,12.0,9.0,0.0,0.0,-1.0,
-1.0,0.0,0.0,9.0,15.0,11.0,8.0,5.0,5.0,0.0,-1.0,
-1.0,9.0,9.0,9.0,23.0,15.0,3.0,3.0,0.0,0.0,-1.0,
-1.0,-1.0,3.0,17.0,20.0,23.0,20.0,11.0,5.0,0.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,20.0,17.0,0.0,-1.0,
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,20.0,12.0,0.0,-1.0,
